QuestionId,SequenceId,QuizDevice
23986,339267,7
24007,339466,7
24020,339613,12
24096,340297,7
24121,340561,7
24139,340683,12
24156,340986,23
24164,341105,7
24188,341376,7
24193,341428,9
24196,341462,12
24216,341707,23
24231,341902,9
24255,342222,9
24282,342421,7
24286,342459,7
24309,342674,8
24345,342945,7
24403,343622,9
24441,343973,8
24455,344033,8
24476,344247,23
24529,344697,7
24579,345249,7
24599,345446,8
24635,345896,23
24679,346408,8
24683,346439,7
24698,346542,7
24711,346715,8
24715,346762,7
24748,347139,23
24760,347235,7
24830,347962,23
24833,347973,9
24849,348120,9
24872,348328,23
24874,348347,8
24889,348444,23
24928,348915,9
24935,348948,7
24939,348990,7
24957,349171,7
24961,349185,9
24982,349417,23
25032,349901,9
25037,349974,7
25082,350534,9
25092,350622,23
25169,351419,8
25197,351712,7
25207,351792,23
25254,352255,7
25276,352563,7
25303,352846,9
25318,352985,8
25320,353002,9
25347,353228,23
25370,353461,23
25387,353562,23
25430,354060,8
25438,354152,23
25458,354316,7
25462,354350,9
25484,354638,23
25501,354863,7
25532,355190,8
25551,355354,9
25552,355357,7
25573,355542,9
25576,355548,9
25607,355841,7
25622,355931,8
25623,355979,23
25640,356130,8
25653,356316,8
25682,356627,9
25728,357088,7
25731,357120,8
25738,357168,9
25780,357516,9
25795,357672,7
25840,358144,12
25854,358370,23
25879,358593,7
25934,359106,23
25949,359276,7
25963,359443,9
25983,359603,9
26029,360038,7
26035,360136,8
26043,360203,7
26048,360227,8
26084,360628,7
26109,360908,7
26116,360976,9
26165,361582,8
26177,361719,7
26203,361966,7
26272,362678,7
26303,363001,8
26314,363116,8
26318,363165,7
26343,363429,9
26356,363577,7
26394,363997,7
26435,364378,7
26471,364733,7
26474,364748,8
26495,364959,7
26525,365283,7
26531,365332,8
26542,365398,7
26573,365648,23
26585,365726,8
26637,366186,9
26682,366656,9
26704,366848,23
26761,367271,8
26894,368472,8
26960,369113,8
27012,369592,23
27023,369694,8
27029,369771,7
27046,369906,8
27071,370216,7
27151,371087,8
27200,371564,7
27203,371624,7
27233,371933,9
27235,371940,7
27238,372007,9
27277,372444,8
27294,372617,8
27326,373076,9
27381,373637,9
27386,373672,7
27472,374432,23
27488,374582,23
27491,374591,8
27538,375130,7
27547,375175,23
27570,375426,8
27586,375552,7
27627,375989,9
27643,376171,7
27663,376429,7
27669,376502,8
27684,376683,7
27686,376699,7
27689,376740,9
27699,376866,8
27714,376985,7
27766,377455,7
27794,377709,7
27820,377984,8
27823,378028,7
27839,378197,7
27867,378495,8
27878,378670,8
27888,378753,9
27893,378789,7
27897,378800,23
27921,379061,23
27933,379142,9
27943,379219,9
27978,379564,8
27988,379644,8
28021,379920,7
28102,380709,9
28111,380817,9
28124,380928,23
28172,381443,7
28191,381615,7
28234,381981,7
28259,382162,8
28270,382272,12
28282,382394,9
28313,382656,23
28318,382690,7
28355,383066,7
28373,383294,8
28379,383338,23
28384,383378,8
28387,383397,9
28389,383417,8
28398,383513,9
28402,383572,7
28450,384038,9
28526,384758,8
28556,384986,9
28641,385790,23
28656,385954,8
28681,386191,9
28711,386557,9
28726,386714,7
28775,387236,9
28778,387293,7
28781,387307,7
28789,387396,7
28792,387410,9
28857,388019,7
28882,388289,7
28883,388290,9
28884,388333,8
28898,388422,7
28903,388528,7
28961,389076,7
28964,389097,7
28975,389247,7
29030,389900,7
29079,390397,23
29082,390405,23
29111,390701,7
29136,390989,8
29179,391369,8
29204,391590,9
29260,392209,7
29308,392600,8
29424,393822,7
29454,394121,8
29471,394281,9
29510,394672,7
29565,395221,7
29571,395251,23
29582,395373,9
29603,395601,8
29606,395654,9
29611,395713,8
29671,396349,7
29678,396406,7
29679,396434,9
29684,396497,23
29703,396697,7
29731,397025,8
29734,397104,9
29758,397430,9
29793,397838,7
29803,397930,23
29807,397986,8
29833,398250,7
29903,398856,8
29943,399228,8
29958,399388,23
29976,399562,7
29981,399636,8
30017,399950,7
30037,400117,8
30041,400138,9
30078,400414,8
30080,400423,8
30104,400581,9
30151,400966,9
30193,401355,7
30223,401643,8
30239,401794,9
30269,402088,8
30330,402825,8
30355,403083,9
30360,403139,7
30381,403363,8
30397,403501,9
30398,403505,9
30405,403590,8
30494,404502,7
30502,404608,8
30503,404617,9
30510,404682,7
30517,404711,9
30519,404745,7
30548,405049,7
30556,405135,7
30578,405361,9
30582,405406,12
30594,405524,7
30627,405789,9
30663,406158,7
30669,406215,9
30686,406320,7
30698,406403,8
30713,406545,8
30714,406556,8
30718,406613,7
30736,406759,8
30761,407015,12
30781,407212,12
30786,407294,7
30789,407325,7
30830,407669,23
30836,407780,23
30862,408020,7
30899,408386,7
30915,408536,9
30952,408899,8
30966,408984,7
30995,409318,9
31025,409539,7
31038,409641,8
31078,410035,23
31091,410159,8
31119,410416,23
31131,410544,9
31135,410570,9
31141,410633,9
31178,410968,23
31180,410985,8
31342,412575,8
31358,412747,7
31371,412870,7
31406,413218,8
31408,413229,9
31418,413322,8
31470,413831,23
31487,413966,23
31513,414245,7
31518,414323,23
31577,414895,23
31589,414991,9
31620,415420,23
31621,415423,23
31646,415616,9
31656,415694,8
31673,415853,23
31700,416084,7
31715,416183,8
31720,416225,7
31741,416410,8
31743,416453,9
31802,416999,23
31803,417008,7
31820,417191,9
31838,417388,9
31846,417481,8
31848,417548,9
31857,417595,23
31860,417621,8
31868,417737,9
31870,417765,7
31878,417858,7
31923,418254,23
31964,418762,7
32032,419553,23
32123,420505,7
32138,420675,9
32152,420888,23
32192,421466,8
32297,422613,7
32376,423243,9
32379,423263,9
32380,423266,8
32404,423523,8
32423,423710,8
32430,423770,7
32444,423934,8
32472,424209,9
32495,424407,23
32498,424421,9
32504,424486,8
32506,424513,7
32511,424557,9
32536,424837,8
32537,424841,9
32539,424845,8
32559,425053,8
32567,425148,9
32568,425150,23
32576,425282,23
32585,425436,7
32605,425662,23
32679,426391,8
32725,426916,8
32749,427110,7
32762,427199,7
32778,427362,8
32788,427448,7
32799,427531,7
32800,427539,7
32814,427685,9
32816,427725,8
32851,428034,9
32887,428381,8
32959,429064,8
32985,429240,8
32986,429248,8
32990,429272,7
32997,429354,8
33027,429648,7
33038,429765,9
33089,430251,8
33103,430409,8
33121,430610,23
33126,430641,7
33134,430751,8
33164,431053,23
33198,431402,9
33236,431755,8
33242,431788,9
33254,431896,7
33270,431999,9
33272,432029,9
33283,432092,23
33301,432297,8
33306,432342,8
33310,432371,23
33355,432812,23
33365,432940,9
33366,432949,7
33468,434139,7
33474,434211,9
33487,434386,7
33490,434446,8
33499,434527,8
33516,434780,23
33567,435315,23
33594,435505,7
33654,436063,7
33661,436111,7
33664,436141,23
33702,436595,9
33724,436807,8
33758,437218,9
33778,437458,9
33859,438286,7
33875,438466,7
33876,438477,9
33900,438763,7
33913,438829,9
33922,438958,8
33963,439475,8
33986,439817,7
33998,439978,8
34018,440195,9
34022,440225,8
34036,440399,7
34038,440417,9
34084,440861,7
34119,441130,9
34122,441142,8
34134,441276,23
34177,441787,8
34190,441937,8
34198,442025,23
34203,442120,9
34205,442148,8
34220,442329,9
34229,442408,23
34262,442779,7
34268,442830,23
34334,443471,23
34336,443474,8
34378,443963,8
34396,444314,8
34398,444328,9
34415,444520,9
34437,444692,7
34451,444836,8
34454,444864,9
34475,445104,9
34499,445408,7
34525,445617,9
34537,445726,7
34566,446090,8
34585,446281,23
34628,446775,9
34662,447096,23
34668,447152,8
34698,447510,9
34748,448063,7
34749,448077,9
34760,448175,8
34784,448408,23
34817,448801,23
34830,448935,9
34840,449000,7
34865,449260,7
34868,449268,23
34881,449405,8
34968,450458,23
35019,450859,8
35068,451419,7
35075,451526,7
35095,451762,9
35102,451807,23
35104,451821,7
35122,451976,7
35139,452120,8
35196,452708,8
35218,452874,7
35271,453377,23
35281,453450,7
35293,453568,8
35302,453655,9
35304,453670,8
35341,454101,9
35364,454257,7
35420,454741,23
35422,454763,7
35424,454772,7
35497,455473,7
35503,455503,7
35569,456144,23
35574,456214,7
35614,456637,8
35649,457025,7
35691,457399,8
35743,457911,7
35765,458153,23
35775,458268,8
35783,458333,8
35797,458445,7
35882,459283,8
35893,459396,7
35905,459505,7
35944,459851,8
35948,459897,8
35967,460162,7
36022,460871,7
36036,460981,8
36073,461335,7
36146,462174,23
36171,462404,7
36183,462540,7
36194,462664,7
36238,463143,9
36266,463447,7
36275,463526,7
36317,463942,8
36369,464450,23
36404,464796,9
36444,465298,23
36445,465300,7
36471,465565,7
36475,465613,7
36534,466140,7
36552,466318,7
36596,466782,23
36642,467265,8
36731,468039,7
36746,468206,8
36750,468232,7
36763,468347,9
36764,468374,8
36768,468430,8
36774,468514,9
36804,468820,8
36835,469112,8
36848,469223,8
36903,469790,9
36905,469807,7
36910,469845,8
36917,469907,9
36926,470033,9
36939,470151,7
36962,470384,7
36977,470495,7
36979,470514,8
36988,470578,9
36990,470585,23
36994,470621,9
37031,470930,8
37044,471059,23
37095,471455,9
37110,471647,7
37165,472176,8
37169,472222,8
37197,472622,9
37210,472779,8
37217,472839,23
37248,473190,7
37251,473210,7
37351,474138,23
37359,474267,23
37384,474521,23
37432,474984,7
37457,475176,9
37462,475246,8
37463,475252,7
37483,475474,9
37510,475744,23
37537,476013,9
37546,476067,7
37576,476420,7
37586,476494,7
37633,476992,23
37699,477688,7
37763,478412,9
37767,478439,7
37769,478474,23
37779,478553,7
37801,478785,7
37827,479028,7
37841,479156,23
37842,479165,9
37863,479331,23
37877,479421,23
37913,479689,9
38007,480612,7
38031,480832,8
38042,480906,7
38056,481045,8
38064,481085,7
38073,481207,23
38123,481520,7
38124,481547,8
38129,481589,9
38161,481949,7
38182,482147,8
38189,482176,8
38197,482255,8
38229,482493,8
38288,483036,8
38289,483073,7
38307,483263,8
38339,483564,9
38343,483616,8
38352,483729,7
38378,484006,23
38379,484014,23
38443,484700,7
38444,484706,9
38445,484708,8
38457,484883,7
38498,485231,8
38515,485443,7
38555,485838,7
38569,485950,9
38620,486437,9
38667,486919,8
38685,487072,7
38698,487241,8
38708,487330,7
38749,487679,8
38758,487740,23
38802,488247,8
38845,488731,9
38854,488824,7
38886,489276,7
38923,489621,23
38987,490284,23
39018,490555,9
39035,490661,23
39067,490999,8
39083,491117,8
39152,491801,7
39166,491910,7
39188,492091,8
39192,492136,9
39201,492249,7
39232,492602,8
39256,493023,23
39332,493802,9
39349,493966,23
39366,494135,9
39380,494279,9
39411,494596,23
39422,494716,23
39521,495791,23
39523,495812,23
39560,496176,7
39571,496295,8
39619,496673,8
39622,496690,7
39625,496746,8
39642,496969,23
39645,497073,8
39653,497177,7
39686,497521,7
39688,497529,9
39708,497725,8
39739,498031,8
39765,498319,8
39808,498708,8
39817,498794,9
39829,498860,23
39845,499040,8
39904,499627,8
39917,499779,7
39931,499864,7
39951,500028,23
39966,500195,9
40001,500592,23
40004,500617,9
40046,500993,8
40051,501063,9
40058,501107,7
40094,501600,9
40112,501729,7
40154,502243,23
40209,502746,9
40263,503298,8
40300,503668,8
40319,503839,7
40354,504139,23
40366,504357,9
40380,504454,8
40418,504826,23
40457,505172,23
40483,505393,7
40517,505824,23
40527,505928,9
40682,507442,23
